#SEQUENCES											       #Rg Values

2222221222222111221122222112222221222211221222222222122212222122122222222222221222221222222221212222   6.06256
2222222222221222121222212222212222222222222222221222112122222222122121222222222222112222112121222121   5.97786
2222222222222212221212222222222212122212221222221112221222221122222121222222221222212212212222222221   5.7952
2221122222222221112221222121222222221222212222222222221212212222221222122222222221222222212211221222   5.67793
2121122222222221112221222121222222221222212222222222221112222222222222222211222222222221222222122112   6.01112
2222222222222222122222222122112122221122222221222221122222222212222222222212212221222221121221212122   5.78166
2222112222221222222112221222221222222122221221222222222122222222221212221222222212221212122222222121   5.92113
2222222122222212221112222222222222122212221222221112221222122222212122222222112222222122222221222122   5.73019
2122112222221222222112221222221222222222221221222222222122122222122222212222212212212222222121221222   5.80849
2222112222221222222112221222221222222222221221222222222122222222222122212222122222212212111112222222   6.02237
2222222222222221221122222112222221222211221212222222122212212222221222122222222221222222212211221222   5.82212
1122222222211222121222212222212222222222222222221222212122122222212122222222112222221122222221222122   5.83701
2222222222222222122222222122112122221122222222222221122222222212222122222212212221222221121221212122   5.98096
2222222122222212221212222222222222122212221222221112221222212222121222122222222221222222212211221222   5.82106
1112222222211222121222212222212222222222222222221222222122222222222221222121222121122221222112222222   6.08241
2222222222222222222222222222122222122212222221211222222111221212222122222122212122221222221122221212   5.59421
2222122222222221112221222121221222221222212222222222221112222122122222222122221222221222222221212222   5.90245
2222222212222212221122222122222212222112122222222122212122222122222221222211222222222221222222122112   6.0121
2222221221122222122222222112112122221122222222222221122222222221222221222122212211222222222222212222   5.96558
2222221122222212221212222222222222122212221222221112221222222122122222222122221222121222222221212222   5.69656
2222121222222221112221222121222222221222212222222222221112222122122222222122221222221222222221212222   5.93448
1222212221222222121222221222222212222112222222212112222222222122222222222111222222222221222222122112   5.99874
2222222222222211221122222112222221222211221222222222122222222222221212221222222212221212122222222121   5.89507
2222222222222212222222122212222122212122212222211222222212222222222122212222122222212212111112222222   5.79235
2222222222222222222222122121212222122222122222211222222221221212222122222122212122221222221122221212   6.03955
1122112222221222222112221222221222222222221211222222222122222122122222222122221222221222222221212222   5.93771
2222222222222222121222221222222212222112222222212112222222222212122222222212212221222221121221212122   5.916
1112221212121222222221221221222122212222222222221222222222222221222221222122212211222222222222212222   5.87203
2122221212222222222122222221222222222222122111122222221221122222212122222222112222222122222221222122   6.02163
1111122222211222121222212222212222222222222222221222212122222212212222222222212222222222222221211222   5.88618
