#SEQUENCES                                                                                             #Rg Values

2222222211111211111211111111111221121111111121111112111111111111111111112211111111111112111112121111   2.73315
2221111111111111111111211111211111121211112111111211221121111121111212112112111211111111211211111111   2.61071
2222221111111111111111112221112111111112211111112121121112111111111111111112111111111211111112112111   2.65862
1111111111111112211211112111111111221111111121211121111111121121111112111111122111112211111122121121   2.61349
1112221211111111111121111211211211212111111212111121111211111121111111111111111111121121211121211111   2.62818
2222222211111111111111111211121121121111111221111112111111111111111111112211111111111112111112121111   2.70605
1112122212112122111112111111111111111212111211111211211111112111211111111111211211111111121111121111   2.63535
1111121111111111111111112221112111111112112112121111111221112111212111111221111112111111111121122111   2.60493
1111122212112122121112111111111111212111111211111111211111111112111111121211111111112221111111111121   2.61903
1111111111111111111111111111111121211112212111211121111111121122111112111111122111112211111122121221   2.623
2222222111111112111111111112111211212111111212111121111211111111111111111111111111121111211121211111   2.70097
1111111122112122111112111111111111111112112112121111111221112111212111111221111112111111111111122111   2.60823
1112112121121122211211112111111111121111111121111121211111111211111121121111111111121112111121111121   2.63058
2222222211111111111111211111111111212111111211111111211111111112111111111211211111112221111111111121   2.7125
2111122212112122121112111121111111111112211111112121121112111111111111111112111111111211111111112111   2.62795
2222111111111211111211111111111211111112111112111211111121111111212111121121221121211111111111111121   2.63633
2222111111111212111211111111111211111212111211111211211111112111211111111111211211111111121111122111   2.62671
2222122112111122121112111111111111111112211111112121121112111111111111111112111111111211111111112111   2.71512
2222221111111111111111111211121121111111111112121121111111121121211112111111111121121111121111111211   2.67005
1111112212112122111112111111111111111212111211111211212111112111211111111111211211111111121111122111   2.60122
2222221111111121111111112221112111221111111121111111211111111112111111111211111111112221111111111111   2.657
2222222211111111111111211111111111111112111112111211111121111111212111121121121111211111111111111121   2.71503
1212121211221111211111111122111111212111111212111121111211111121111111111111111111121111211121211111   2.66069
1111111111111111111122111111211111221111111121211121111111121121111112111111122111112211111122121221   2.62822
2211121211221111211111111122111111212111111212111121111211111121111111111111111111121111211121211111   2.6494
1122221211111111111121111211221211111111111112121121111111121121211112111111111111121111121111111211   2.64673
1111111111111122121112111111111111121211112111111211221121111121111212112112111211111111211221111111   2.61393
1111111212112222121112111111111111111212111211111211211111112111211111111111211211111111121111122111   2.62031
1111111111111111111121111211211211121211112111111211221121111121111212112112111211111111212211111111   2.61419
1111212112112112111122111111211111121111111121111121211111111211111122121111111111121112111121111121   2.6079
